subject,filePath,channel
1,training_data/training_data_patch_0.h5|volume|0,image
1,training_data/training_data_patch_0.h5|segmentation|0|1,basement
1,training_data/training_data_patch_0.h5|segmentation|0|2,slope_mudstone_a
1,training_data/training_data_patch_0.h5|segmentation|0|3,mass_transport_deposit
1,training_data/training_data_patch_0.h5|segmentation|0|4,slope_mudstone_b
1,training_data/training_data_patch_0.h5|segmentation|0|5,slope_valley
1,training_data/training_data_patch_0.h5|segmentation|0|6,submarine_canyon
2,training_data/training_data_patch_1.h5|volume|0,image
2,training_data/training_data_patch_1.h5|segmentation|0|1,basement
2,training_data/training_data_patch_1.h5|segmentation|0|2,slope_mudstone_a
2,training_data/training_data_patch_1.h5|segmentation|0|3,mass_transport_deposit
2,training_data/training_data_patch_1.h5|segmentation|0|4,slope_mudstone_b
2,training_data/training_data_patch_1.h5|segmentation|0|5,slope_valley
2,training_data/training_data_patch_1.h5|segmentation|0|6,submarine_canyon
3,training_data/training_data_patch_2.h5|volume|0,image
3,training_data/training_data_patch_2.h5|segmentation|0|1,basement
3,training_data/training_data_patch_2.h5|segmentation|0|2,slope_mudstone_a
3,training_data/training_data_patch_2.h5|segmentation|0|3,mass_transport_deposit
3,training_data/training_data_patch_2.h5|segmentation|0|4,slope_mudstone_b
3,training_data/training_data_patch_2.h5|segmentation|0|5,slope_valley
3,training_data/training_data_patch_2.h5|segmentation|0|6,submarine_canyon
4,training_data/training_data_patch_3.h5|volume|0,image
4,training_data/training_data_patch_3.h5|segmentation|0|1,basement
4,training_data/training_data_patch_3.h5|segmentation|0|2,slope_mudstone_a
4,training_data/training_data_patch_3.h5|segmentation|0|3,mass_transport_deposit
4,training_data/training_data_patch_3.h5|segmentation|0|4,slope_mudstone_b
4,training_data/training_data_patch_3.h5|segmentation|0|5,slope_valley
4,training_data/training_data_patch_3.h5|segmentation|0|6,submarine_canyon
5,training_data/training_data_patch_4.h5|volume|0,image
5,training_data/training_data_patch_4.h5|segmentation|0|1,basement
5,training_data/training_data_patch_4.h5|segmentation|0|2,slope_mudstone_a
5,training_data/training_data_patch_4.h5|segmentation|0|3,mass_transport_deposit
5,training_data/training_data_patch_4.h5|segmentation|0|4,slope_mudstone_b
5,training_data/training_data_patch_4.h5|segmentation|0|5,slope_valley
5,training_data/training_data_patch_4.h5|segmentation|0|6,submarine_canyon
6,training_data/training_data_patch_5.h5|volume|0,image
6,training_data/training_data_patch_5.h5|segmentation|0|1,basement
6,training_data/training_data_patch_5.h5|segmentation|0|2,slope_mudstone_a
6,training_data/training_data_patch_5.h5|segmentation|0|3,mass_transport_deposit
6,training_data/training_data_patch_5.h5|segmentation|0|4,slope_mudstone_b
6,training_data/training_data_patch_5.h5|segmentation|0|5,slope_valley
6,training_data/training_data_patch_5.h5|segmentation|0|6,submarine_canyon
7,training_data/training_data_patch_6.h5|volume|0,image
7,training_data/training_data_patch_6.h5|segmentation|0|1,basement
7,training_data/training_data_patch_6.h5|segmentation|0|2,slope_mudstone_a
